mode,network,policy,L,mu,N,w,p,corr_w_c,K,warmup,num_seeds,pilot_K,pilot_warmup,num_pilot_seeds,lambda_hat_sum,qd_iso2_lambda_sum,lambda_link,nu_edge,weighted_dest_aoi,stage1_used_frac,stage2_used_frac,stage2_idle_empty_frac,total_VOQ_arrival_rate,total_delivery_rate,total_overwrite_rate,weighted_dest_aoi_se,final_upstream_debt,avg_upstream_debt,final_downstream_debt,avg_downstream_debt,gap_vs_iso_lambda_pct
full,det_aligned,Joint FGMW,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.1199999999999845,0.0,2618.7241415390745,84.17031655092593,1.0,0.9986851851851851,0.0013148148148148147,0.2834074074074074,0.11974074074074074,0.16362962962962965,0.2511938014708254,,,,,0.3911291455751531
full,det_aligned,iso1 + iso2-lambda,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.1199999999999845,0.0,2618.7241415390745,83.84238454861111,1.0,0.999037037037037,0.0009629629629629629,0.27885185185185185,0.1197962962962963,0.15901851851851853,0.1702413659815871,,,,,0.0
full,det_aligned,Downstream-Aware MW,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.1199999999999845,0.0,2618.7241415390745,84.25917997685185,1.0,0.9991111111111112,0.0008888888888888888,0.27985185185185185,0.11981481481481482,0.16001851851851853,0.19932165703834442,23.053602456509946,12.86369484288025,69.05394680919316,44.00317307889508,0.49711781276817746
full,det_aligned,Greedy,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.1199999999999845,0.0,2618.7241415390745,139.32237369791665,1.0,0.9877222222222223,0.012277777777777776,0.18674074074074073,0.11848148148148148,0.06822222222222223,0.4756834612966844,,,,,66.17176914516153
full,det_aligned,SRP-iso,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.1199999999999845,0.0,2618.7241415390745,109.47394574652778,1.0,0.9988333333333334,0.0011666666666666665,0.2703333333333333,0.1197037037037037,0.1505185185185185,0.3615286892130758,,,,,30.571126210104026
full,det_aligned,SRP-tandem-LB,3,0.12,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.1199999999999845,0.0,2618.7241415390745,124.12276171875,0.4757962962962963,0.8373333333333334,0.16266666666666665,0.12109259259259259,0.10051851851851852,0.0205,1.0503596131093709,,,,,48.04297657682275
full,det_aligned,Joint FGMW,3,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.25000000000003747,0.0,610.8291412477847,47.009574074074074,1.0,0.9233888888888888,0.07661111111111112,0.2835185185185185,0.22918518518518516,0.054296296296296294,0.603550514627757,,,,,1.6229815946471549
full,det_aligned,iso1 + iso2-lambda,3,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.25000000000003747,0.0,610.8291412477847,46.25880222800925,1.0,0.9185740740740741,0.08142592592592592,0.27885185185185185,0.22837037037037033,0.05048148148148148,0.5366671919547753,,,,,0.0
full,det_aligned,Downstream-Aware MW,3,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.25000000000003747,0.0,610.8291412477847,46.76152314814815,1.0,0.9277592592592593,0.07224074074074073,0.2802222222222222,0.23079629629629628,0.04942592592592593,0.6201820030648746,318.88688177994226,164.86003949255186,442.7147229581999,230.14750836824268,1.086757321689813
full,det_aligned,Greedy,3,0.25,8,"[8.0, 4.0, 2.0, 1.0, 0.5, 0.25, 0.125, 0.0625]","[0.95, 0.85, 0.7, 0.55, 0.4, 0.28, 0.18, 0.1]",-0.5508438705571701,20000,2000,3,50000,5000,3,0.2773703703703704,0.25000000000003747,0.0,610.8291412477847,72.8734035011574,1.0,0.7412037037037038,0.2587962962962963,0.18674074074074073,0.18514814814814815,0.0014814814814814814,0.7311624061631293,,,,,57.53413402700096
